"dictor";"number.of.syllables";"duration";"start";"end";"type"
"D2";4;1191,99999999999;78,233;79,425;"prose"
"D2";6;1361,99999999999;80,063;81,425;"prose"
"D3";10;2750;3,04;5,79;"prose"
"D3";3;850,000000000001;6,63;7,48;"prose"
"D3";5;1670;8,57;10,24;"prose"
"D3";8;2460;10,42;12,88;"prose"
"D3";7;1160;13,88;15,04;"prose"
"D3";7;1580;16,55;18,13;"prose"
"D3";6;1340;18,79;20,13;"prose"
"D3";25;6890;21,5;28,39;"prose"
"D3";6;1170;28,722;29,892;"prose"
"D3";5;1404;30,616;32,02;"prose"
"D3";4;1192;32,828;34,02;"prose"
"D3";2;1234;34,893;36,127;"prose"
"D3";9;3340;36,319;39,659;"prose"
"D3";7;1553;39,999;41,552;"prose"
"D3";8;1851;42,189;44,04;"prose"
"D3";10;1915;44,146;46,061;"prose"
"D3";5;1277;47,169;48,446;"prose"
"D3";5;1256;48,488;49,744;"prose"
"D3";6;1745;49,85;51,595;"prose"
"D3";6;1489;52,701;54,19;"prose"
"D3";19;6229;54,381;60,61;"prose"
"D3";7;1681;61,701;63,382;"prose"
"D3";6;1825;63,45;65,275;"prose"
"D3";5;1550;65,55;67,1;"prose"
"D3";9;1974,99999999999;67,45;69,425;"prose"
"D3";12;3125;70,425;73,55;"prose"
"D3";3;1199,99999999999;74,15;75,35;"prose"
"D3";9;2349,99999999999;75,525;77,875;"prose"
"D3";6;1275,00000000001;78,5;79,775;"prose"
"D4";10;2560;3,35;5,91;"prose"
"D4";3;1000;6,92;7,92;"prose"
"D4";5;1500;8,29;9,79;"prose"
"D4";8;2060;10,22;12,28;"prose"
"D4";7;1500;13,16;14,66;"prose"
"D4";7;1710;15,4;17,11;"prose"
"D4";6;1550;17,44;18,99;"prose"
"D4";24;5563;19,738;25,301;"prose"
"D4";6;1406;25,64;27,046;"prose"
"D4";2;656,000000000002;27,656;28,312;"prose"
"D4";3;952,999999999999;28,468;29,421;"prose"
"D4";4;1485;30,093;31,578;"prose"
"D4";2;969,000000000001;32,452;33,421;"prose"
"D4";9;2672;33,827;36,499;"prose"
"D4";7;1781;36,828;38,609;"prose"
"D4";16;4328;39,546;43,874;"prose"
"D4";9;2625;44,702;47,327;"prose"
"D4";6;1594;47,624;49,218;"prose"
"D4";6;1344;50,03;51,374;"prose"
"D4";21;6484;51,562;58,046;"prose"
"D4";7;2266;58,546;60,812;"prose"
"D4";6;1891;60,859;62,75;"prose"
"D4";2;750;63,234;63,984;"prose"
"D4";9;2218,99999999999;64,14;66,359;"prose"
"D4";10;2343;67,343;69,686;"prose"
"D4";3;796,999999999997;69,702;70,499;"prose"
"D4";13;2937;70,906;73,843;"prose"
"D4";6;1860;74,171;76,031;"prose"
"D5";10;2280;2,38;4,66;"prose"
"D5";3;670;5,44;6,11;"prose"
"D5";5;1320;7,19;8,51;"prose"
"D5";8;1640;9,07;10,71;"prose"
"D5";7;1200;11,58;12,78;"prose"
"D5";7;1450;13,71;15,16;"prose"
"D5";6;1420;15,35;16,77;"prose"
"D5";14;5044;18,41;23,454;"prose"
"D5";6;1159;23,886;25,045;"prose"
"D5";5;1363;25,795;27,158;"prose"
"D5";4;1296;27,817;29,113;"prose"
"D5";9;2932;29,999;32,931;"prose"
"D5";7;1659,00000000001;33,181;34,84;"prose"
"D5";16;3227;36,158;39,385;"prose"
"D5";8;2273;40,476;42,749;"prose"
"D5";6;1295;42,954;44,249;"prose"
"D5";6;1386;45,181;46,567;"prose"
"D5";20;5568;46,795;52,363;"prose"
"D5";7;1750;53,272;55,022;"prose"
"D5";10;2091;55,431;57,522;"prose"
"D5";9;1909,00000000001;57,681;59,59;"prose"
"D5";8;2431;60,568;62,999;"prose"
"D5";3;795,000000000009;63,227;64,022;"prose"
"D5";9;3018,99999999999;64,545;67,564;"prose"
"D5";6;1227,99999999999;67,7;68,928;"prose"
"D6";10;3220;10,68;13,9;"prose"
"D6";3;699,999999999999;14,5;15,2;"prose"
"D6";13;2860;15,22;18,08;"prose"
"D6";7;1260;18,42;19,68;"prose"
"D6";7;1760;19,8;21,56;"prose"
"D6";13;2700;22,72;25,42;"prose"
"D6";25;4820;27,22;32,04;"prose"
"D6";6;920,000000000002;32,22;33,14;"prose"
"D6";5;1080;33,5;34,58;"prose"
"D6";4;1000;35;36;"prose"
"D6";18;7440;36,58;44,02;"prose"
"D6";7;2240;44,22;46,46;"prose"
"D6";9;2440;46,68;49,12;"prose"
"D6";8;2040,00000000001;50,48;52,52;"prose"
"D6";6;1200;52,68;53,88;"prose"
"D6";6;960,000000000001;54,66;55,62;"prose"
"D6";19;5320;55,64;60,96;"prose"
"D6";7;1900;61,76;63,66;"prose"
"D6";5;1599,99999999999;63,72;65,32;"prose"
"D6";3;1259,99999999999;65,76;67,02;"prose"
"D6";9;2700;67,92;70,62;"prose"
"D6";8;2080;70,9;72,98;"prose"
"D6";3;980,000000000004;73,5;74,48;"prose"
"D6";4;2400,00000000001;74,8;77,2;"prose"
"D6";9;2640;77,3;79,94;"prose"
"D6";6;1420;80,38;81,8;"prose"
"D7";10;1950;2,7;4,65;"prose"
"D7";3;630;4,9;5,53;"prose"
"D7";13;2940;6,01;8,95;"prose"
"D7";7;1230;9,52;10,75;"prose"
"D7";7;1350;11,12;12,47;"prose"
"D7";6;1290;12,58;13,87;"prose"
